id,origin,surface,category,name,kind,in_default_scope,status,availability,support,numpy_signature,numsharp_target,numsharp_signatures,numsharp_source_paths,numsharp_source_urls,numsharp_obsolete,notes,documentation_url
numpy.linalg.cond,numpy,linalg,Linear algebra,cond,function,True,missing,missing,missing,"(x, p=None)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.cond.html
numpy.linalg.cross,numpy,linalg,Linear algebra,cross,function,True,missing,missing,missing,"(x1, x2, /, *, axis=-1)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.cross.html
numpy.linalg.det,numpy,linalg,Linear algebra,det,function,True,missing,missing,missing,(a),,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.det.html
numpy.linalg.diagonal,numpy,linalg,Linear algebra,diagonal,function,True,available,alias,declared,"(x, /, *, offset=0)",NumSharp.np.diagonal,"NumSharp.NDArray diagonal(NumSharp.NDArray a, int offset = 0, int axis1 = 0, int axis2 = 1)",src/NumSharp.Core/Indexing/np.diagonal.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Indexing/np.diagonal.cs,False,Available through the static NumSharp np API instead of the NumPy linalg namespace function.,https://numpy.org/doc/stable/reference/generated/numpy.linalg.diagonal.html
numpy.linalg.eig,numpy,linalg,Linear algebra,eig,function,True,missing,missing,missing,(a),,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.eig.html
numpy.linalg.eigh,numpy,linalg,Linear algebra,eigh,function,True,missing,missing,missing,"(a, UPLO='L')",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.eigh.html
numpy.linalg.eigvals,numpy,linalg,Linear algebra,eigvals,function,True,missing,missing,missing,(a),,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.eigvals.html
numpy.linalg.eigvalsh,numpy,linalg,Linear algebra,eigvalsh,function,True,missing,missing,missing,"(a, UPLO='L')",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.eigvalsh.html
numpy.linalg.inv,numpy,linalg,Linear algebra,inv,function,True,missing,missing,missing,(a),,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.inv.html
numpy.linalg.LinAlgError,numpy,linalg,Linear algebra,LinAlgError,class,False,missing,missing,missing,Signature unavailable from runtime introspection,,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.LinAlgError.html
numpy.linalg.lstsq,numpy,linalg,Linear algebra,lstsq,function,True,missing,missing,missing,"(a, b, rcond=None)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.lstsq.html
numpy.linalg.matmul,numpy,linalg,Linear algebra,matmul,function,True,available,alias,declared,"(x1, x2, /)",NumSharp.np.matmul,"NumSharp.NDArray matmul(NumSharp.NDArray x1, NumSharp.NDArray x2)",src/NumSharp.Core/LinearAlgebra/np.matmul.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/LinearAlgebra/np.matmul.cs,False,Available through the static NumSharp np API instead of the NumPy linalg namespace function.,https://numpy.org/doc/stable/reference/generated/numpy.linalg.matmul.html
numpy.linalg.matrix_norm,numpy,linalg,Linear algebra,matrix_norm,function,True,missing,missing,missing,"(x, /, *, keepdims=False, ord='fro')",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.matrix_norm.html
numpy.linalg.matrix_power,numpy,linalg,Linear algebra,matrix_power,function,True,available,alias,declared,"(a, n)",NumSharp.NDArray.matrix_power,NumSharp.NDArray matrix_power(int power),src/NumSharp.Core/LinearAlgebra/NDArray.matrix_power.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/LinearAlgebra/NDArray.matrix_power.cs,False,Matrix power is available as an NDArray instance method rather than under an linalg namespace.,https://numpy.org/doc/stable/reference/generated/numpy.linalg.matrix_power.html
numpy.linalg.matrix_rank,numpy,linalg,Linear algebra,matrix_rank,function,True,missing,missing,missing,"(A, tol=None, hermitian=False, *, rtol=None)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.matrix_rank.html
numpy.linalg.matrix_transpose,numpy,linalg,Linear algebra,matrix_transpose,function,True,available,alias,declared,"(x, /)",NumSharp.np.matrix_transpose,NumSharp.NDArray matrix_transpose(NumSharp.NDArray x),src/NumSharp.Core/Manipulation/np.matrix_transpose.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Manipulation/np.matrix_transpose.cs,False,Available through the static NumSharp np API instead of the NumPy linalg namespace function.,https://numpy.org/doc/stable/reference/generated/numpy.linalg.matrix_transpose.html
numpy.linalg.multi_dot,numpy,linalg,Linear algebra,multi_dot,function,True,missing,missing,missing,"(arrays, *, out=None)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.multi_dot.html
numpy.linalg.norm,numpy,linalg,Linear algebra,norm,function,True,missing,missing,missing,"(x, ord=None, axis=None, keepdims=False)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.norm.html
numpy.linalg.outer,numpy,linalg,Linear algebra,outer,function,True,available,alias,declared,"(x1, x2, /)",NumSharp.np.outer,"NumSharp.NDArray outer(NumSharp.NDArray a, NumSharp.NDArray b)",src/NumSharp.Core/LinearAlgebra/np.outer.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/LinearAlgebra/np.outer.cs,False,Available through the static NumSharp np API instead of the NumPy linalg namespace function.,https://numpy.org/doc/stable/reference/generated/numpy.linalg.outer.html
numpy.linalg.pinv,numpy,linalg,Linear algebra,pinv,function,True,missing,missing,missing,"(a, rcond=None, hermitian=False, *, rtol=<no value>)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.pinv.html
numpy.linalg.qr,numpy,linalg,Linear algebra,qr,function,True,missing,missing,missing,"(a, mode='reduced')",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.qr.html
numpy.linalg.slogdet,numpy,linalg,Linear algebra,slogdet,function,True,missing,missing,missing,(a),,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.slogdet.html
numpy.linalg.solve,numpy,linalg,Linear algebra,solve,function,True,missing,missing,missing,"(a, b)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.solve.html
numpy.linalg.svd,numpy,linalg,Linear algebra,svd,function,True,missing,missing,missing,"(a, full_matrices=True, compute_uv=True, hermitian=False)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.svd.html
numpy.linalg.svdvals,numpy,linalg,Linear algebra,svdvals,function,True,missing,missing,missing,"(x, /)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.svdvals.html
numpy.linalg.tensordot,numpy,linalg,Linear algebra,tensordot,function,True,missing,missing,missing,"(x1, x2, /, *, axes=2)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.tensordot.html
numpy.linalg.tensorinv,numpy,linalg,Linear algebra,tensorinv,function,True,missing,missing,missing,"(a, ind=2)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.tensorinv.html
numpy.linalg.tensorsolve,numpy,linalg,Linear algebra,tensorsolve,function,True,missing,missing,missing,"(a, b, axes=None)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.tensorsolve.html
numpy.linalg.trace,numpy,linalg,Linear algebra,trace,function,True,available,alias,declared,"(x, /, *, offset=0, dtype=None)",NumSharp.np.trace,"NumSharp.NDArray trace(NumSharp.NDArray a, int offset = 0, int axis1 = 0, int axis2 = 1, System.Type dtype = null, NumSharp.NDArray out = null)",src/NumSharp.Core/Indexing/np.trace.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Indexing/np.trace.cs,False,Available through the static NumSharp np API instead of the NumPy linalg namespace function.,https://numpy.org/doc/stable/reference/generated/numpy.linalg.trace.html
numpy.linalg.vecdot,numpy,linalg,Linear algebra,vecdot,function,True,missing,missing,missing,"(x1, x2, /, *, axis=-1)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.vecdot.html
numpy.linalg.vector_norm,numpy,linalg,Linear algebra,vector_norm,function,True,missing,missing,missing,"(x, /, *, axis=None, keepdims=False, ord=2)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.linalg.vector_norm.html
numpy.ndarray.all,numpy,ndarray,Reductions,all,method,True,available,alias,declared,"(self, /, axis=None, out=None, keepdims=False, *, where=True)",NumSharp.np.all,"NumSharp.Generic.NDArray<bool> all(NumSharp.NDArray nd, bool keepdims) | NumSharp.Generic.NDArray<bool> all(NumSharp.NDArray nd, int axis, bool keepdims = false) | NumSharp.Generic.NDArray<bool> all(NumSharp.NDArray nd, int[] axis, bool keepdims = false) | NumSharp.NDArray all(NumSharp.NDArray a, int? axis = null, NumSharp.NDArray out = null, bool keepdims = false, NumSharp.NDArray where = null) | NumSharp.NDArray all(NumSharp.NDArray a, int[] axis, NumSharp.NDArray out, bool keepdims = false, NumSharp.NDArray where = null) | bool all(NumSharp.NDArray a)",src/NumSharp.Core/Logic/np.all.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Logic/np.all.cs,False,Available through the static NumSharp np API instead of the NumPy instance method.,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.all.html
numpy.ndarray.any,numpy,ndarray,Reductions,any,method,True,available,alias,declared,"(self, /, axis=None, out=None, keepdims=False, *, where=True)",NumSharp.np.any,"NumSharp.Generic.NDArray<bool> any(NumSharp.NDArray nd, bool keepdims) | NumSharp.Generic.NDArray<bool> any(NumSharp.NDArray nd, int axis, bool keepdims = false) | NumSharp.Generic.NDArray<bool> any(NumSharp.NDArray nd, int[] axis, bool keepdims = false) | NumSharp.NDArray any(NumSharp.NDArray a, int? axis = null, NumSharp.NDArray out = null, bool keepdims = false, NumSharp.NDArray where = null) | NumSharp.NDArray any(NumSharp.NDArray a, int[] axis, NumSharp.NDArray out, bool keepdims = false, NumSharp.NDArray where = null) | bool any(NumSharp.NDArray a)",src/NumSharp.Core/Logic/np.any.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Logic/np.any.cs,False,Available through the static NumSharp np API instead of the NumPy instance method.,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.any.html
numpy.ndarray.argmax,numpy,ndarray,Reductions,argmax,method,True,available,exact,declared,"(self, /, axis=None, out=None, *, keepdims=False)",NumSharp.NDArray.argmax,"NumSharp.NDArray argmax(int axis, bool keepdims = false) | long argmax()",src/NumSharp.Core/Statistics/NDArray.argmax.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Statistics/NDArray.argmax.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.argmax.html
numpy.ndarray.argmin,numpy,ndarray,Reductions,argmin,method,True,available,exact,declared,"(self, /, axis=None, out=None, *, keepdims=False)",NumSharp.NDArray.argmin,"NumSharp.NDArray argmin(int axis, bool keepdims = false) | long argmin()",src/NumSharp.Core/Statistics/NDArray.argmin.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Statistics/NDArray.argmin.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.argmin.html
numpy.ndarray.argpartition,numpy,ndarray,Sorting & searching,argpartition,method,True,missing,missing,missing,"(self, kth, /, axis=-1, kind='introselect', order=None)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.argpartition.html
numpy.ndarray.argsort,numpy,ndarray,Sorting & searching,argsort,method,True,available,exact,declared,"(self, /, axis=-1, kind=None, order=None, *, stable=None)",NumSharp.NDArray.argsort,NumSharp.NDArray argsort(int axis = -1) | NumSharp.NDArray argsort(int? axis = -1),src/NumSharp.Core/Sorting_Searching_Counting/ndarray.argsort.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Sorting_Searching_Counting/ndarray.argsort.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.argsort.html
numpy.ndarray.astype,numpy,ndarray,Array methods,astype,method,True,available,exact,declared,"(self, /, dtype, order='K', casting='unsafe', subok=True, copy=True)",NumSharp.NDArray.astype,"NumSharp.NDArray astype(NumSharp.NPTypeCode typeCode, bool copy = true) | NumSharp.NDArray astype(NumSharp.NPTypeCode typeCode, bool copy, char order, string casting = ""unsafe"") | NumSharp.NDArray astype(System.Type dtype, bool copy = true) | NumSharp.NDArray astype(System.Type dtype, bool copy, char order, string casting = ""unsafe"")",src/NumSharp.Core/Backends/NDArray.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Backends/NDArray.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.astype.html
numpy.ndarray.base,numpy,ndarray,Array attributes,base,property,True,available,exact,declared,Signature unavailable from runtime introspection,NumSharp.NDArray.base,NumSharp.NDArray base { get; },src/NumSharp.Core/Backends/NDArray.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Backends/NDArray.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.base.html
numpy.ndarray.byteswap,numpy,ndarray,Array methods,byteswap,method,True,missing,missing,missing,"(self, /, inplace=False)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.byteswap.html
numpy.ndarray.choose,numpy,ndarray,Array methods,choose,method,True,missing,missing,missing,"(self, /, choices, out=None, mode='raise')",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.choose.html
numpy.ndarray.clip,numpy,ndarray,Array methods,clip,method,True,available,alias,declared,"(self, /, min=None, max=None, out=None, **kwargs)",NumSharp.np.clip,"NumSharp.NDArray clip(NumSharp.NDArray a, NumSharp.NDArray a_min = null, NumSharp.NDArray a_max = null, NumSharp.NDArray out = null, NumSharp.NPTypeCode? dtype = null, NumSharp.NDArray min = null, NumSharp.NDArray max = null) | NumSharp.NDArray clip(NumSharp.NDArray a, NumSharp.NDArray a_min, NumSharp.NDArray a_max, System.Type dtype)",src/NumSharp.Core/Math/np.clip.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Math/np.clip.cs,False,Available through the static NumSharp np API instead of the NumPy instance method.,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.clip.html
numpy.ndarray.compress,numpy,ndarray,Array methods,compress,method,True,available,alias,declared,"(self, /, condition, axis=None, out=None)",NumSharp.np.compress,"NumSharp.NDArray compress(NumSharp.NDArray condition, NumSharp.NDArray a, int? axis = null, NumSharp.NDArray out = null)",src/NumSharp.Core/Indexing/np.compress.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Indexing/np.compress.cs,False,Available through the static NumSharp np API instead of the NumPy instance method.,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.compress.html
numpy.ndarray.conj,numpy,ndarray,Array methods,conj,method,True,missing,missing,missing,"(self, /)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.conj.html
numpy.ndarray.conjugate,numpy,ndarray,Array methods,conjugate,method,True,missing,missing,missing,"(self, /)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.conjugate.html
numpy.ndarray.copy,numpy,ndarray,Array methods,copy,method,True,available,exact,declared,"(self, /, order='C')",NumSharp.NDArray.copy,NumSharp.NDArray copy(char order = 'C'),src/NumSharp.Core/Creation/NDArray.Copy.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Creation/NDArray.Copy.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.copy.html
numpy.ndarray.ctypes,numpy,ndarray,Array attributes,ctypes,property,True,missing,missing,missing,An object to simplify the interaction of the array with the ctypes,,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.ctypes.html
numpy.ndarray.cumprod,numpy,ndarray,Reductions,cumprod,method,True,available,alias,declared,"(self, /, axis=None, dtype=None, out=None)",NumSharp.np.cumprod,"NumSharp.NDArray cumprod(NumSharp.NDArray arr, int? axis = null, NumSharp.NPTypeCode? typeCode = null)",src/NumSharp.Core/APIs/np.cumprod.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/APIs/np.cumprod.cs,False,Available through the static NumSharp np API instead of the NumPy instance method.,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.cumprod.html
numpy.ndarray.cumsum,numpy,ndarray,Reductions,cumsum,method,True,available,exact,declared,"(self, /, axis=None, dtype=None, out=None)",NumSharp.NDArray.cumsum,"NumSharp.NDArray cumsum(int? axis = null, System.Type dtype = null)",src/NumSharp.Core/Math/NDArray.cumsum.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Math/NDArray.cumsum.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.cumsum.html
numpy.ndarray.data,numpy,ndarray,Array attributes,data,property,True,partial,alias,partial,Python buffer object pointing to the start of the array's data.,NumSharp.NDArray.Data,NumSharp.Backends.Unmanaged.ArraySlice<T> Data(),src/NumSharp.Core/Backends/NDArray.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Backends/NDArray.cs,False,NumSharp exposes typed unmanaged data through the generic Data<T>() method rather than NumPy's buffer-view property. Data<T>() returns a typed NumSharp ArraySlice and is not NumPy's Python buffer object.,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.data.html
numpy.ndarray.device,numpy,ndarray,Array attributes,device,property,True,missing,missing,missing,Signature unavailable from runtime introspection,,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.device.html
numpy.ndarray.diagonal,numpy,ndarray,Array methods,diagonal,method,True,available,alias,declared,"(self, /, offset=0, axis1=0, axis2=1)",NumSharp.np.diagonal,"NumSharp.NDArray diagonal(NumSharp.NDArray a, int offset = 0, int axis1 = 0, int axis2 = 1)",src/NumSharp.Core/Indexing/np.diagonal.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Indexing/np.diagonal.cs,False,Available through the static NumSharp np API instead of the NumPy instance method.,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.diagonal.html
numpy.ndarray.dot,numpy,ndarray,Array methods,dot,method,True,available,exact,declared,"(self, other, /, out=None)",NumSharp.NDArray.dot,NumSharp.NDArray dot(NumSharp.NDArray b),src/NumSharp.Core/LinearAlgebra/NDArray.dot.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/LinearAlgebra/NDArray.dot.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.dot.html
numpy.ndarray.dtype,numpy,ndarray,Array attributes,dtype,property,True,available,exact,declared,Signature unavailable from runtime introspection,NumSharp.NDArray.dtype,System.Type dtype { get; },src/NumSharp.Core/Backends/NDArray.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Backends/NDArray.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.dtype.html
numpy.ndarray.dump,numpy,ndarray,Array methods,dump,method,True,missing,missing,missing,"(self, /, file)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.dump.html
numpy.ndarray.dumps,numpy,ndarray,Array methods,dumps,method,True,missing,missing,missing,"(self, /)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.dumps.html
numpy.ndarray.fill,numpy,ndarray,Array methods,fill,method,True,missing,missing,missing,"(self, /, value)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.fill.html
numpy.ndarray.flags,numpy,ndarray,Array attributes,flags,property,True,missing,missing,missing,Signature unavailable from runtime introspection,,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.flags.html
numpy.ndarray.flat,numpy,ndarray,Array attributes,flat,property,True,available,exact,declared,Signature unavailable from runtime introspection,NumSharp.NDArray.flat,NumSharp.NDArray flat { get; },src/NumSharp.Core/Backends/NDArray.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Backends/NDArray.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.flat.html
numpy.ndarray.flatten,numpy,ndarray,Array methods,flatten,method,True,available,exact,declared,"(self, /, order='C')",NumSharp.NDArray.flatten,NumSharp.NDArray flatten(char order = 'C'),src/NumSharp.Core/Manipulation/NDArray.flatten.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Manipulation/NDArray.flatten.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.flatten.html
numpy.ndarray.getfield,numpy,ndarray,Array methods,getfield,method,True,missing,missing,missing,"(self, /, dtype, offset=0)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.getfield.html
numpy.ndarray.imag,numpy,ndarray,Array attributes,imag,property,True,missing,missing,missing,The imaginary part of the array.,,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.imag.html
numpy.ndarray.item,numpy,ndarray,Array methods,item,method,True,available,exact,declared,"(self, /, *args)",NumSharp.NDArray.item,"T item() | T item(long i, long j) | T item(long i, long j, long k) | T item(long index) | T item(params long[] indices) | object item() | object item(long i, long j) | object item(long i, long j, long k) | object item(long index) | object item(params long[] indices)",src/NumSharp.Core/Manipulation/NDArray.item.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Manipulation/NDArray.item.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.item.html
numpy.ndarray.itemsize,numpy,ndarray,Array attributes,itemsize,property,True,available,alias,declared,Signature unavailable from runtime introspection,NumSharp.NDArray.dtypesize,int dtypesize { get; },src/NumSharp.Core/Backends/NDArray.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Backends/NDArray.cs,False,The element size is exposed as dtypesize in NumSharp.,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.itemsize.html
numpy.ndarray.max,numpy,ndarray,Reductions,max,method,True,available,exact,declared,"(self, /, axis=None, out=None, **kwargs)",NumSharp.NDArray.max,"NumSharp.NDArray max(System.Type dtype = null) | NumSharp.NDArray max(int axis, bool keepdims = false, System.Type dtype = null) | T max()",src/NumSharp.Core/Statistics/NDArray.amax.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Statistics/NDArray.amax.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.max.html
numpy.ndarray.mean,numpy,ndarray,Reductions,mean,method,True,available,exact,declared,"(self, /, axis=None, dtype=None, out=None, **kwargs)",NumSharp.NDArray.mean,"NumSharp.NDArray mean() | NumSharp.NDArray mean(int axis) | NumSharp.NDArray mean(int axis, NumSharp.NPTypeCode type, bool keepdims = false) | NumSharp.NDArray mean(int axis, System.Type type, bool keepdims = false) | NumSharp.NDArray mean(int axis, bool keepdims)",src/NumSharp.Core/Statistics/NDArray.mean.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Statistics/NDArray.mean.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.mean.html
numpy.ndarray.min,numpy,ndarray,Reductions,min,method,True,available,exact,declared,"(self, /, axis=None, out=None, **kwargs)",NumSharp.NDArray.min,"NumSharp.NDArray min(System.Type dtype = null) | NumSharp.NDArray min(int axis, bool keepdims = false, System.Type dtype = null) | T min()",src/NumSharp.Core/Statistics/NDArray.amin.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Statistics/NDArray.amin.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.min.html
